Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
9/5/21;0;0;0;0;0;0
9/6/21;0;0;0;0;4;24
9/7/21;6.5;15;17;0;0;30
9/8/21;1;1;0;2;0;0
9/9/21;0;0;0;0;0;0
9/10/21;0;0;0;0;0;0
9/11/21;0;0;0;0;0;0
9/12/21;0;0;4;0;0;0
9/13/21;0;0;0;0;0;0
9/14/21;6.5;4.6;18.5;20;6;28
9/15/21;0;0;0;0;0;0
9/16/21;0;0;0;0;0;0
9/17/21;0;0;0;0;0;0
9/18/21;0;0;0;0;0;0
9/19/21;0;0;0;10;9;2.5
9/20/21;0;0;0;0;0;0
9/21/21;0;0;0;0;0;0
9/22/21;0;0;0;0;0;0
9/23/21;0;0;0;0;0;0
9/24/21;17.3;31;23.5;0;34;30
9/25/21;0;0;0;8;19;14
9/26/21;0;0;0;0;0;0
9/27/21;0;2;7;15;34;16
9/28/21;0;0;0;12;0;0
9/29/21;0;0;0;1;0;0
9/30/21;0;10;18.5;10;30;14
10/1/21;0;0;3.5;9;0;1
10/2/21;0;0;0;0;0;0
10/3/21;0;0;0;0;0;0
10/4/21;0;5;12.5;46;25;0
10/5/21;0;6;7;0;2;1
10/6/21;2;10.5;0;4;28;10
10/7/21;0;0;0;0;0;1
10/8/21;0;0;1;10;2;6
10/9/21;0;0;0;0;0;0
10/10/21;8;0;0;0;0;0
10/11/21;13;13;5;0;9;44.5
10/12/21;0;0;0;0;0;0
10/13/21;0;2;0;0;0;0
10/14/21;0;0;0;0;0;0
10/15/21;0;0;0;0;0;0
10/16/21;0;0;2;0;0;0
10/17/21;0;0;0;0;7;2
10/18/21;0;12.5;2;0;3;0
10/19/21;0;0;0;0;0;1
10/20/21;0;0;0;1;0;0
10/21/21;0;0;0;18;5;0
10/22/21;0;0;2;0;0;0
10/23/21;0;0;1;10;19;0
10/24/21;0;0;1;16;5;39
10/25/21;0;0;0;0;0;0
10/26/21;0;0;0;8;27;0
10/27/21;0;0;7;0;0;0
10/28/21;0;0;0;0;0;0
10/29/21;0;3;3;19;6;8
10/30/21;0;0;0;0;0;0
10/31/21;0;8;10;4;4;1
11/1/21;0;2;5;0;14;1
11/2/21;0;0;0;0;0;0
11/3/21;0;31;24;0;105;49
11/4/21;0;0;0;0;0;0
11/5/21;30.1;27;46;4;61;24.5
11/6/21;69;61;87;0;99;50
11/7/21;0;0;0;0;0;0
11/8/21;3;3;4.5;10;7;8.5
11/9/21;5;2;0;0;0;0
11/10/21;40;48;43;47;29;27
11/11/21;14;6;28;0;30;27.5
11/12/21;0;0;0;0;0;0
11/13/21;0;0;0;0;0;0
11/14/21;0;0;0;0;12;0
11/15/21;3;1;2;3;9;9.5
11/16/21;0;0;0;0;0;0
11/17/21;0;0;0;0;0;0
11/18/21;34;13.5;16.5;17;15;16.5
11/19/21;2;1;0;1;3;2
11/20/21;0;0;0;0;4.5;1.5
11/21/21;0;6;0;0;0;0
11/22/21;0;2;20.5;8;46.5;23.5
11/23/21;0;0;0;0;0;0
11/24/21;0;14.5;0;0;1;3.5
11/25/21;15;4.5;5.8;0;0;0
11/26/21;19.5;6.5;26;2;21;1.5
11/27/21;17;0;0;0;0;0
11/28/21;7;0;0;0;4;0
11/29/21;0;0;0;0;0;1
11/30/21;0;0;0;0;0;0
12/1/21;0;0;0;0;0;0
12/2/21;3.5;0;0;5;9;3.5
12/3/21;0;0;0;0;0;0
12/4/21;7.5;0;0;0;0;0
12/5/21;7.5;3;2;3;2;4
12/6/21;1;0;0;0;0;0
12/7/21;0;0;0;0;0;0
12/8/21;6.5;7.5;3.5;0;18;6
12/9/21;3.5;11;3;7;5;7.5
12/10/21;18.5;25;1;22;11;8
12/11/21;21.5;10.5;21;1;8.5;5
12/12/21;0;0;3;6;5;1.5
12/13/21;17.5;2.5;2;5;17.5;18.5
12/14/21;0;0;0;0;0;0
12/15/21;17;6.5;26;40;37;46
12/16/21;0;9.8;34;15;9;5
12/17/21;19;2;35.5;18.5;5;11.5
12/18/21;1.5;10;6.5;15;4;11.5
12/19/21;30;21;49;69;57;16
12/20/21;1;0;0;0;0;0
12/21/21;0;0;0;0;0;0
12/22/21;13;2;0;0;0;1.5
12/23/21;30;40;19;25;25;21.5
12/24/21;1;0;0;0;5;0
12/25/21;24;44;28;17;29;35
12/26/21;1;0;0;12;1.5;2.5
12/27/21;0;0;0;8;3;0
12/28/21;1;2;0;6;4;10
12/29/21;10.5;1;0;4;0;3
12/30/21;0;2;0;6;9;5.9
12/31/21;0;0;0;0;0;8.5
