ID,dataset_id,Longitude,Latitude,x,y
SL-LK-1-5,SR-LK-1-5,104.221460,-1.981403,413416.765000,9780974.219000
SL-LK-1-6,SR-LK-1-6,104.221549,-1.981222,413426.654100,9780994.231000
SL-LK-2-1,SR-LK-2-1,104.221735,-1.981939,413447.378100,9780914.983000
SL-LK-2-2,SR-LK-2-2,104.221683,-1.982079,413441.602000,9780899.504000
SL-LK-2-3,SR-LK-2-3,104.221629,-1.982284,413435.606800,9780876.840000
SL-LK-2-4,SR-LK-2-4,104.221766,-1.981764,413450.816800,9780934.329000
SL-LK-2-5,SR-LK-2-5,104.221863,-1.981623,413461.597700,9780949.921000
SL-LK-2-6,SR-LK-2-6,104.222011,-1.981433,413478.048300,9780970.931000
MC.1,Camp Induk-1,104.096429,-2.083851,399516.999957,9769642.000042
MC.2,Camp Induk-2,104.096240,-2.083634,399496.000043,9769666.000014
MC.3,Camp Induk-3,104.096069,-2.083471,399477.000042,9769683.999992
MC.4,Camp Induk-4,104.095710,-2.083218,399437.000040,9769711.999997
MC.5,Camp Induk-5,104.094982,-2.082683,399355.999980,9769770.999993
SI.1,Sialang-1,104.059897,-2.036121,395451.000004,9774916.000010
SI.2,Sialang-2,104.059799,-2.035985,395439.999951,9774930.999972
SI.3,Sialang-3,104.059646,-2.035786,395423.000044,9774952.999955
SI.4,Sialang-4,104.059385,-2.035397,395394.000047,9774996.000020
SI.5,Sialang-5,104.058954,-2.034664,395346.000028,9775077.000049
LE.1,Lestari-1,104.227704,-2.034718,414113.999950,9775081.000025
LE.2,Lestari-2,104.227542,-2.034637,414096.000013,9775089.999967
LE.3,Lestari-3,104.227362,-2.034546,414076.000024,9775100.000035
LE.4,Lestari-4,104.226913,-2.034401,414026.000000,9775115.999988
LE.5,Lestari-5,104.226158,-2.034003,413942.000032,9775159.999962
SE.1,Serindit-1,104.220950,-1.981604,413360.000003,9780951.999988
SE.2,Serindit-2,104.220860,-1.981758,413350.000007,9780935.000013
SE.3,Serindit-3,104.220743,-1.981947,413337.000039,9780913.999955
SE.4,Serindit-4,104.220473,-1.982336,413307.000009,9780871.000047
SE.5,Serindit-5,104.220005,-1.983114,413255.000042,9780784.999991
RA.1,Ramin-1,104.152380,-1.968745,405732.999363,9782369.665911
RA.2,Ramin-2,104.152338,-1.968725,405728.292972,9782371.917936
RA.3,Ramin-3,104.152214,-1.968665,405714.451133,9782378.541432
RA.4,Ramin-4,104.152004,-1.968564,405691.076850,9782389.726276
RA.5,Ramin-5,104.151594,-1.968366,405645.466026,9782411.551451

