Date;Main Camp;Sialang;Buring;Ramin;Serindit;Lestari
27/10/2021;2;2;2;2;2;2
28/10/2021;2;2;2;2;2;2
29/10/2021;2;2;2;2;2;2
30/10/2021;2;2;2;2;2;2
31/10/2021;2;2;2;2;2;2
01/11/2021;2;2;2;2;2;2
02/11/2021;2;2;2;2;2;2
03/11/2021;2;2;2;2;2;2
04/11/2021;2;2;2;2;2;2
05/11/2021;2;2;2;2;2;2
06/11/2021;2;2;2;2;2;2
07/11/2021;2;2;2;2;2;2
08/11/2021;2;2;2;2;2;2
09/11/2021;2;2;2;2;2;2
10/11/2021;1;1;1;1;1;1
11/11/2021;1;1;1;1;1;1
12/11/2021;1;1;1;1;1;1
13/11/2021;2;2;2;2;2;2
14/11/2021;2;2;2;2;2;2
15/11/2021;1;1;1;1;1;1
16/11/2021;2;2;2;2;2;2
17/11/2021;2;2;2;2;2;2
18/11/2021;2;2;2;2;2;2
19/11/2021;2;2;2;2;2;2
20/11/2021;2;2;2;2;2;2
21/11/2021;2;2;2;2;2;2
22/11/2021;1;1;1;1;1;1
23/11/2021;1;1;1;1;1;1
24/11/2021;1;1;1;1;1;1
25/11/2021;2;2;2;2;2;2
26/11/2021;2;2;2;2;2;2
27/11/2021;1;1;1;1;1;1
28/11/2021;1;1;1;1;1;1
29/11/2021;1;1;1;1;1;1
30/11/2021;2;2;2;2;2;2
01/12/2021;2;2;2;2;2;2
02/12/2021;2;2;2;2;2;2
03/12/2021;3;3;3;3;3;3
04/12/2021;3;3;3;3;3;3
05/12/2021;2;2;2;2;2;2
06/12/2021;3;3;3;3;3;3
07/12/2021;2;2;2;2;2;2
08/12/2021;2;2;2;2;2;2
09/12/2021;2;2;2;2;2;2
10/12/2021;2;2;2;2;2;2
11/12/2021;2;2;2;2;2;2
12/12/2021;2;2;2;2;2;2
13/12/2021;2;2;2;2;2;2
14/12/2021;3;3;3;3;3;3
15/12/2021;2;2;2;2;2;2
16/12/2021;2;2;2;2;2;2
17/12/2021;2;2;2;2;2;2
18/12/2021;2;2;2;2;2;2
19/12/2021;2;2;2;2;2;2
20/12/2021;1;1;1;1;1;1
21/12/2021;1;1;1;1;1;1
22/12/2021;2;2;2;2;2;2
23/12/2021;1;1;1;1;1;1
24/12/2021;2;2;2;2;2;2
25/12/2021;2;2;2;2;2;2
26/12/2021;2;2;2;2;2;2
27/12/2021;2;2;2;2;2;2
28/12/2021;2;2;2;2;2;2
29/12/2021;2;2;2;2;2;2
30/12/2021;2;2;2;2;2;2
31/12/2021;2;2;2;2;2;2
